Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2021/12/01,BSIG,BSIG,S,CBOE,125
2021/12/01,BSM,BSM,S,CBOE,21
2021/12/01,BSQR,BSQR,S,CBOE,10
2021/12/01,BSX,BSX,S,CBOE,2371
2021/12/01,BTAI,BTAI,S,CBOE,324
2021/12/01,BTAQ,BTAQ,S,CBOE,10
2021/12/01,BTBT,BTBT,S,CBOE,1450
2021/12/01,BTCM,BTCM,S,CBOE,144
2021/12/01,BTF,BTF,S,CBOE,8
2021/12/01,BTG,BTG,S,CBOE,113
2021/12/01,BTI,BTI,S,CBOE,85
2021/12/01,BTRS,BTRS,S,CBOE,1
2021/12/01,BTU,BTU,S,CBOE,443
2021/12/01,BTWN,BTWN,S,CBOE,7
2021/12/01,BTX,BTX,S,CBOE,2
2021/12/01,BUD,BUD,S,CBOE,107
2021/12/01,BUG,BUG,S,CBOE,35
2021/12/01,BUR,BUR,S,CBOE,9
2021/12/01,BURL,BURL,S,CBOE,122
2021/12/01,BUZZ,BUZZ,S,CBOE,1
2021/12/01,BVN,BVN,S,CBOE,2
2021/12/01,BW,BW,S,CBOE,57
2021/12/01,BWA,BWA,S,CBOE,30
2021/12/01,BWEN,BWEN,S,CBOE,11
2021/12/01,BWXT,BWXT,S,CBOE,136
2021/12/01,BX,BX,S,CBOE,1835
2021/12/01,BXC,BXC,S,CBOE,2
2021/12/01,BXMT,BXMT,S,CBOE,586
2021/12/01,BXP,BXP,S,CBOE,10
2021/12/01,BYD,BYD,S,CBOE,34
2021/12/01,BYND,BYND,S,CBOE,2502
2021/12/01,BYSI,BYSI,S,CBOE,5131
2021/12/01,BZH,BZH,S,CBOE,6
2021/12/01,BZQ,BZQ,S,CBOE,17
2021/12/01,BZUN,BZUN,S,CBOE,249
2021/12/01,C,C,S,CBOE,10267
2021/12/01,CAAS,CAAS,S,CBOE,4
2021/12/01,CACC,CACC,S,CBOE,42
2021/12/01,CACI,CACI,S,CBOE,2
2021/12/01,CADE,CADE,S,CBOE,4
2021/12/01,CADE1,CADE,S,CBOE,30
2021/12/01,CAG,CAG,S,CBOE,94
2021/12/01,CAH,CAH,S,CBOE,459
2021/12/01,CAJ,CAJ,S,CBOE,4
2021/12/01,CAKE,CAKE,S,CBOE,156
2021/12/01,CAL,CAL,S,CBOE,15
2021/12/01,CALA,CALA,S,CBOE,25
2021/12/01,CALM,CALM,S,CBOE,4
2021/12/01,CALX,CALX,S,CBOE,18
2021/12/01,CAMT,CAMT,S,CBOE,1
2021/12/01,CAN,CAN,S,CBOE,527
2021/12/01,CANO,CANO,S,CBOE,172
2021/12/01,CAPR,CAPR,S,CBOE,11
2021/12/01,CAR,CAR,S,CBOE,1068
2021/12/01,CARA,CARA,S,CBOE,84
2021/12/01,CARG,CARG,S,CBOE,10
2021/12/01,CARR,CARR,S,CBOE,192
2021/12/01,CARS,CARS,S,CBOE,160
2021/12/01,CAT,CAT,S,CBOE,1863
2021/12/01,CB,CB,S,CBOE,44
2021/12/01,CBAT,CBAT,S,CBOE,140
2021/12/01,2CBOE,CBOE,S,CBOE,136
2021/12/01,CBOE,CBOE,S,CBOE,45
2021/12/01,CBRE,CBRE,S,CBOE,27
2021/12/01,CBRL,CBRL,S,CBOE,12
2021/12/01,CBSH1,CBSH,S,CBOE,1
2021/12/01,CBT,CBT,S,CBOE,6
2021/12/01,CC,CC,S,CBOE,153
2021/12/01,CCCC,CCCC,S,CBOE,37
2021/12/01,CCCS,CCCS,S,CBOE,3
2021/12/01,CCI,CCI,S,CBOE,65
2021/12/01,CCJ,CCJ,S,CBOE,5407
2021/12/01,CCK,CCK,S,CBOE,73
2021/12/01,CCL,CCL,S,CBOE,29389
2021/12/01,CCMP,CCMP,S,CBOE,2
2021/12/01,CCO,CCO,S,CBOE,4
2021/12/01,CCS,CCS,S,CBOE,6
2021/12/01,CCV,CCV,S,CBOE,124
2021/12/01,CCXI,CCXI,S,CBOE,352
2021/12/01,CDAY,CDAY,S,CBOE,107
2021/12/01,CDE,CDE,S,CBOE,244
2021/12/01,CDEV,CDEV,S,CBOE,204
2021/12/01,CDMO,CDMO,S,CBOE,2
2021/12/01,CDNA,CDNA,S,CBOE,56
2021/12/01,CDNS,CDNS,S,CBOE,43
2021/12/01,CDTX,CDTX,S,CBOE,61
2021/12/01,CDW,CDW,S,CBOE,9
2021/12/01,CDXC,CDXC,S,CBOE,22
2021/12/01,CE,CE,S,CBOE,44
2021/12/01,CEI,CEI,S,CBOE,3576
2021/12/01,CEIX,CEIX,S,CBOE,24
2021/12/01,CELH,CELH,S,CBOE,488
2021/12/01,CELU,CELU,S,CBOE,1
2021/12/01,CEMI,CEMI,S,CBOE,9
2021/12/01,CENX,CENX,S,CBOE,156
